"Symbol","ADF_stat","ADF_p","ARCH_LM_stat","ARCH_LM_p"
"BTC",-1.42223239746083,0.822920263949777,96.4888844499894,2.66453525910038e-15
"ETH",-2.50672906455912,0.363794904107231,148.846788171495,0
"BCH",-2.71668659747613,0.274908667038288,98.7762183061501,9.99200722162641e-16
"DASH",-3.47255155323824,0.0449281231618221,147.224164273392,0
