"Comparison","Mean_AbsError_Huber","Mean_AbsError_Other","Mean_Diff","t_statistic","df","p_value","CI_Lower","CI_Upper","Significant_0.05"
"Huber vs AdaBoost_R2",0.0106377147427514,0.0772421291777115,-0.0666044144349602,-13.844323277329,1091,2.82522904557859e-40,-0.0760441850647557,-0.0571646438051646,TRUE
"Huber vs ExtraTrees",0.0106377147427514,0.07169719811194,-0.0610594833691885,-12.9825532810258,1091,6.07654670375087e-36,-0.0702878145319252,-0.0518311522064518,TRUE
"Huber vs XGBoost",0.0106377147427514,0.0641671277396095,-0.0535294129968581,-12.1232861887501,1091,7.98021724305904e-32,-0.0621930905994117,-0.0448657353943046,TRUE
"Huber vs GBM",0.0106377147427514,0.0627433753041482,-0.0521056605613969,-11.8568001804793,1091,1.36926078801029e-30,-0.060728445695908,-0.0434828754268858,TRUE
"Huber vs RandomForest",0.0106377147427514,0.068980543694686,-0.0583428289519347,-12.4812108615463,1091,1.62839210881551e-33,-0.0675147629835008,-0.0491708949203685,TRUE
"Huber vs SVM",0.0106377147427514,0.014601023416193,-0.00396330867344161,-9.35914579387041,1091,4.43458547071868e-20,-0.00479421457641402,-0.00313240277046921,TRUE
"Huber vs VotingEnsemble",0.0106377147427514,0.0482541281435904,-0.037616413400839,-12.145345517791,1091,6.29365889974496e-32,-0.0436935314059576,-0.0315392953957204,TRUE
"Huber vs StackingEnsemble",0.0106377147427514,0.0880597702440734,-0.077422055501322,-12.9306101422897,1091,1.09257610727231e-35,-0.0891703774319052,-0.0656737335707387,TRUE
